epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
83,361.74,0.20018,0.26218,0.41497,0.80445,0,0.97322,0.97816,0.99105,0.96934,0.97322,0.97816,0.99105,0.94485,0.16882,0.21943,0.20196,0.71739,0,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882
84,365.951,0.21423,0.25513,0.40178,0.81506,0,0.97305,0.978,0.99105,0.97046,0.97305,0.978,0.99105,0.94193,0.17031,0.22081,0.20249,0.71763,0,0.0005349,0.0001783,0.0005349,0.0001783,0.0005349,0.0001783,0.0005349,0.0001783
85,370.188,0.196,0.23401,0.39381,0.81059,0,0.97329,0.9771,0.99105,0.96899,0.97329,0.9771,0.99105,0.94505,0.17268,0.21882,0.20185,0.71731,0,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684
86,374.387,0.19196,0.25342,0.39499,0.80579,0,0.97293,0.97655,0.99105,0.9693,0.97293,0.97655,0.99105,0.94324,0.17179,0.21771,0.19929,0.7171,0,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585
87,378.676,0.19479,0.26138,0.40227,0.80583,0,0.97341,0.97606,0.99105,0.97002,0.97341,0.97606,0.99105,0.94436,0.16935,0.21833,0.20051,0.71612,0,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486
88,382.918,0.20542,0.25519,0.42103,0.80965,0,0.97355,0.97617,0.99043,0.968,0.97355,0.97617,0.99043,0.94179,0.16723,0.21846,0.20003,0.71557,0,0.0004161,0.0001387,0.0004161,0.0001387,0.0004161,0.0001387,0.0004161,0.0001387
89,387.102,0.17662,0.22549,0.38525,0.79513,0,0.97392,0.97616,0.98981,0.96689,0.97392,0.97616,0.98981,0.94195,0.1671,0.21842,0.20031,0.71674,0,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288
90,391.206,0.19051,0.23296,0.38604,0.80471,0,0.97425,0.97626,0.9898,0.96701,0.97425,0.97626,0.9898,0.93905,0.16793,0.21861,0.19922,0.71708,0,0.0003567,0.0001189,0.0003567,0.0001189,0.0003567,0.0001189,0.0003567,0.0001189
91,397.977,0.16783,0.23081,0.53273,0.7818,0,0.97155,0.97836,0.99078,0.96769,0.97155,0.97836,0.99078,0.94246,0.16987,0.22781,0.20336,0.71587,0,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109
92,402.333,0.16745,0.25986,0.50587,0.77939,0,0.96514,0.98004,0.9889,0.96448,0.96514,0.98004,0.9889,0.94157,0.1696,0.23561,0.21265,0.71492,0,0.0002973,9.91e-05,0.0002973,9.91e-05,0.0002973,9.91e-05,0.0002973,9.91e-05
93,406.591,0.15601,0.249,0.51819,0.76668,0,0.96516,0.97653,0.98734,0.96371,0.96516,0.97653,0.98734,0.94273,0.17212,0.23684,0.22033,0.71522,0,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05
94,410.772,0.15991,0.21798,0.52049,0.76748,0,0.96445,0.97665,0.98817,0.96168,0.96445,0.97665,0.98817,0.94553,0.17375,0.23593,0.21946,0.71578,0,0.0002379,7.93e-05,0.0002379,7.93e-05,0.0002379,7.93e-05,0.0002379,7.93e-05
95,414.931,0.15467,0.23156,0.49276,0.76886,0,0.96306,0.97727,0.98844,0.96112,0.96306,0.97727,0.98844,0.94305,0.17392,0.23421,0.21557,0.716,0,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05
